Source,Target,Weight,Type
A_1,A_10,2,undirected
A_1,A_12,4,undirected
A_1,A_13,3,undirected
A_1,A_14,1,undirected
A_1,A_16,3,undirected
A_1,A_18,6,undirected
A_1,A_4,3,undirected
A_1,A_5,1,undirected
A_1,A_7,2,undirected
A_1,B_2,3,undirected
A_1,C_1,3,undirected
A_1,C_5,1,undirected
A_10,A_1,2,undirected
A_10,A_14,1,undirected
A_10,A_18,3,undirected
A_10,A_6,1,undirected
A_11,A_15,6,undirected
A_11,A_5,4,undirected
A_11,A_7,1,undirected
A_11,A_9,2,undirected
A_12,A_1,4,undirected
A_12,A_12,6,undirected
A_12,A_15,2,undirected
A_12,A_2,2,undirected
A_12,A_3,1,undirected
A_12,A_9,1,undirected
A_13,A_1,3,undirected
A_13,A_17,4,undirected
A_13,A_18,1,undirected
A_14,A_1,1,undirected
A_14,A_10,1,undirected
A_14,A_18,4,undirected
A_14,A_19,3,undirected
A_14,C_13,6,undirected
A_15,A_11,6,undirected
A_15,A_12,2,undirected
A_15,A_16,1,undirected
A_16,A_1,3,undirected
A_16,A_15,1,undirected
A_16,A_16,6,undirected
A_16,A_2,1,undirected
A_17,A_13,4,undirected
A_17,A_18,3,undirected
A_17,A_8,2,undirected
A_17,C_5,1,undirected
A_18,A_1,6,undirected
A_18,A_10,3,undirected
A_18,A_13,1,undirected
A_18,A_14,4,undirected
A_18,A_17,3,undirected
A_18,A_19,2,undirected
A_18,A_2,3,undirected
A_18,A_4,2,undirected
A_18,A_7,1,undirected
A_18,C_1,2,undirected
A_18,C_13,1,undirected
A_18,C_5,2,undirected
A_18,C_9,2,undirected
A_19,A_14,3,undirected
A_19,A_18,2,undirected
A_19,A_2,1,undirected
A_2,A_12,2,undirected
A_2,A_16,1,undirected
A_2,A_18,3,undirected
A_2,A_19,1,undirected
A_2,A_5,3,undirected
A_2,A_6,2,undirected
A_2,A_7,6,undirected
A_20,A_8,1,undirected
A_20,C_10,2,undirected
A_20,C_15,1,undirected
A_20,C_20,5,undirected
A_3,A_12,1,undirected
A_3,A_9,6,undirected
A_3,C_14,4,undirected
A_4,A_1,3,undirected
A_4,A_18,2,undirected
A_4,A_5,1,undirected
A_5,A_1,1,undirected
A_5,A_11,4,undirected
A_5,A_2,3,undirected
A_5,A_4,1,undirected
A_6,A_10,1,undirected
A_6,A_2,2,undirected
A_6,C_7,3,undirected
A_7,A_1,2,undirected
A_7,A_11,1,undirected
A_7,A_18,1,undirected
A_7,A_2,6,undirected
A_8,A_17,2,undirected
A_8,A_20,1,undirected
A_8,C_3,6,undirected
A_9,A_11,2,undirected
A_9,A_12,1,undirected
A_9,A_3,6,undirected
B_1,B_18,6,undirected
B_1,B_3,1,undirected
B_1,B_9,2,undirected
B_10,B_15,3,undirected
B_10,B_16,3,undirected
B_10,B_17,6,undirected
B_11,B_14,1,undirected
B_11,B_15,5,undirected
B_11,B_16,6,undirected
B_11,B_17,1,undirected
B_11,B_19,4,undirected
B_11,B_4,2,undirected
B_11,B_5,3,undirected
B_12,B_15,2,undirected
B_12,B_16,3,undirected
B_12,B_18,2,undirected
B_12,B_19,1,undirected
B_12,B_3,2,undirected
B_13,B_16,5,undirected
B_13,B_17,1,undirected
B_13,B_19,3,undirected
B_13,B_4,1,undirected
B_13,B_6,2,undirected
B_13,B_7,2,undirected
B_14,B_11,1,undirected
B_14,B_15,2,undirected
B_14,B_16,3,undirected
B_14,B_7,3,undirected
B_14,B_8,2,undirected
B_15,B_10,3,undirected
B_15,B_11,5,undirected
B_15,B_12,2,undirected
B_15,B_14,2,undirected
B_15,B_19,1,undirected
B_15,B_8,3,undirected
B_16,B_10,3,undirected
B_16,B_11,6,undirected
B_16,B_12,3,undirected
B_16,B_13,5,undirected
B_16,B_14,3,undirected
B_16,B_17,2,undirected
B_16,B_19,2,undirected
B_16,B_20,2,undirected
B_16,B_4,3,undirected
B_16,B_5,1,undirected
B_16,B_6,1,undirected
B_16,B_8,1,undirected
B_16,B_9,2,undirected
B_17,B_10,6,undirected
B_17,B_11,1,undirected
B_17,B_13,1,undirected
B_17,B_16,2,undirected
B_17,B_18,1,undirected
B_17,B_3,1,undirected
B_17,B_5,2,undirected
B_18,B_1,6,undirected
B_18,B_12,2,undirected
B_18,B_17,1,undirected
B_18,B_3,3,undirected
B_19,B_11,4,undirected
B_19,B_12,1,undirected
B_19,B_13,3,undirected
B_19,B_15,1,undirected
B_19,B_16,2,undirected
B_19,B_9,3,undirected
B_2,A_1,3,undirected
B_2,B_7,1,undirected
B_2,B_9,2,undirected
B_20,B_16,2,undirected
B_20,B_7,2,undirected
B_20,C_20,6,undirected
B_3,B_1,1,undirected
B_3,B_12,2,undirected
B_3,B_17,1,undirected
B_3,B_18,3,undirected
B_4,B_11,2,undirected
B_4,B_13,1,undirected
B_4,B_16,3,undirected
B_5,B_11,3,undirected
B_5,B_16,1,undirected
B_5,B_17,2,undirected
B_6,B_13,2,undirected
B_6,B_16,1,undirected
B_6,B_9,4,undirected
B_7,B_13,2,undirected
B_7,B_14,3,undirected
B_7,B_2,1,undirected
B_7,B_20,2,undirected
B_8,B_14,2,undirected
