Source,Target,Weight,Type
0,3,3,undirected
0,7,1,undirected
0,11,6,undirected
0,17,5,undirected
0,18,4,undirected
0,20,53,undirected
0,40,66,undirected
1,6,3,undirected
1,8,10,undirected
1,9,1,undirected
1,18,3,undirected
1,21,53,undirected
1,41,66,undirected
2,7,15,undirected
2,12,8,undirected
2,16,11,undirected
2,22,53,undirected
2,42,66,undirected
3,0,3,undirected
3,6,2,undirected
3,11,9,undirected
3,15,1,undirected
3,23,53,undirected
3,43,66,undirected
4,10,21,undirected
4,24,53,undirected
4,44,66,undirected
5,8,18,undirected
5,9,11,undirected
5,17,6,undirected
5,25,53,undirected
5,45,66,undirected
6,1,3,undirected
6,3,2,undirected
6,8,1,undirected
6,9,6,undirected
6,26,53,undirected
6,46,66,undirected
7,0,1,undirected
7,2,15,undirected
7,16,1,undirected
7,17,1,undirected
7,18,1,undirected
7,19,1,undirected
7,27,52,undirected
7,47,66,undirected
8,1,10,undirected
8,5,18,undirected
8,6,1,undirected
8,9,1,undirected
8,13,2,undirected
8,14,1,undirected
8,28,53,undirected
8,48,66,undirected
9,1,1,undirected
9,5,11,undirected
9,6,6,undirected
9,8,1,undirected
9,12,1,undirected
9,29,53,undirected
9,49,66,undirected
10,4,21,undirected
10,14,2,undirected
10,15,7,undirected
10,30,53,undirected
10,50,66,undirected
11,0,6,undirected
11,3,9,undirected
11,12,2,undirected
11,13,7,undirected
11,14,7,undirected
11,15,11,undirected
11,31,53,undirected
11,51,66,undirected
12,2,8,undirected
12,9,1,undirected
12,11,2,undirected
12,16,1,undirected
12,32,54,undirected
12,52,66,undirected
13,8,2,undirected
13,11,7,undirected
13,15,4,undirected
13,19,2,undirected
13,33,53,undirected
13,53,66,undirected
14,8,1,undirected
14,10,2,undirected
14,11,7,undirected
14,17,1,undirected
14,34,53,undirected
14,54,66,undirected
15,3,1,undirected
15,10,7,undirected
15,11,11,undirected
15,13,4,undirected
15,35,53,undirected
15,55,66,undirected
16,2,11,undirected
16,7,1,undirected
16,12,1,undirected
16,19,5,undirected
16,36,53,undirected
16,56,66,undirected
17,0,5,undirected
17,5,6,undirected
17,7,1,undirected
17,14,1,undirected
17,37,53,undirected
17,57,66,undirected
18,0,4,undirected
18,1,3,undirected
18,7,1,undirected
18,19,17,undirected
18,38,54,undirected
18,58,66,undirected
19,7,1,undirected
19,13,2,undirected
19,16,5,undirected
19,18,17,undirected
19,39,53,undirected
19,59,66,undirected
20,0,53,undirected
20,23,6,undirected
20,27,3,undirected
20,31,3,undirected
20,37,3,undirected
20,38,3,undirected
20,40,46,undirected
21,1,53,undirected
21,26,3,undirected
21,28,8,undirected
21,29,1,undirected
21,30,4,undirected
21,38,1,undirected
21,41,46,undirected
22,2,53,undirected
22,27,19,undirected
22,32,9,undirected
22,36,11,undirected
22,38,1,undirected
22,42,46,undirected
23,3,53,undirected
23,20,6,undirected
23,26,3,undirected
23,31,3,undirected
23,35,4,undirected
23,43,46,undirected
24,4,53,undirected
24,30,19,undirected
24,44,46,undirected
25,5,53,undirected
25,28,17,undirected
25,29,11,undirected
25,37,5,undirected
25,45,46,undirected
26,6,53,undirected
26,21,3,undirected
26,23,3,undirected
26,27,1,undirected
26,28,1,undirected
26,29,6,undirected
26,46,46,undirected
27,7,52,undirected
27,20,3,undirected
27,22,19,undirected
27,26,1,undirected
27,32,1,undirected
27,36,4,undirected
27,37,3,undirected
27,47,45,undirected
28,8,53,undirected
28,21,8,undirected
28,25,17,undirected
28,26,1,undirected
28,29,1,undirected
28,33,2,undirected
28,34,2,undirected
28,48,46,undirected
29,9,53,undirected
29,21,1,undirected
29,25,11,undirected
29,26,6,undirected
29,28,1,undirected
29,49,46,undirected
30,10,53,undirected
30,21,4,undirected
30,24,19,undirected
30,34,2,undirected
30,35,11,undirected
30,50,46,undirected
31,11,53,undirected
31,20,3,undirected
31,23,3,undirected
31,33,6,undirected
31,34,6,undirected
31,35,11,undirected
31,51,46,undirected
32,12,54,undirected
32,22,9,undirected
32,27,1,undirected
32,36,1,undirected
32,52,45,undirected
33,13,53,undirected
33,28,2,undirected
33,31,6,undirected
33,35,5,undirected
33,39,2,undirected
33,53,46,undirected
34,14,53,undirected
34,28,2,undirected
34,30,2,undirected
34,31,6,undirected
34,36,1,undirected
34,54,46,undirected
35,15,53,undirected
35,23,4,undirected
35,30,11,undirected
35,31,11,undirected
35,33,5,undirected
35,55,46,undirected
36,16,53,undirected
36,22,11,undirected
36,27,4,undirected
36,32,1,undirected
36,34,1,undirected
36,39,4,undirected
36,56,46,undirected
37,17,53,undirected
37,20,3,undirected
37,25,5,undirected
37,27,3,undirected
37,57,46,undirected
38,18,54,undirected
38,20,3,undirected
38,21,1,undirected
38,22,1,undirected
38,39,15,undirected
38,58,45,undirected
39,19,53,undirected
39,33,2,undirected
39,36,4,undirected
39,38,15,undirected
39,59,46,undirected
40,0,66,undirected
40,20,46,undirected
40,43,6,undirected
40,47,3,undirected
40,51,5,undirected
40,57,6,undirected
40,58,1,undirected
41,1,66,undirected
41,21,46,undirected
41,46,2,undirected
41,48,9,undirected
41,49,1,undirected
41,50,5,undirected
41,58,1,undirected
42,2,66,undirected
42,22,46,undirected
42,47,15,undirected
42,52,5,undirected
42,56,12,undirected
43,3,66,undirected
43,23,46,undirected
43,40,6,undirected
43,46,2,undirected
43,51,4,undirected
43,55,2,undirected
44,4,66,undirected
44,24,46,undirected
44,50,20,undirected
45,5,66,undirected
45,25,46,undirected
45,48,17,undirected
45,49,11,undirected
45,57,5,undirected
46,6,66,undirected
46,26,46,undirected
