Source,Target,Weight,Type
0,1,33,undirected
0,2,42,undirected
0,3,31,undirected
0,4,20,undirected
0,5,15,undirected
0,6,15,undirected
0,7,15,undirected
0,8,15,undirected
0,9,15,undirected
0,10,15,undirected
0,11,15,undirected
0,12,15,undirected
0,13,15,undirected
0,14,15,undirected
0,15,15,undirected
0,16,15,undirected
0,17,15,undirected
0,18,15,undirected
0,19,15,undirected
1,0,33,undirected
1,1,6,undirected
1,2,55,undirected
1,3,44,undirected
1,4,33,undirected
1,5,28,undirected
1,6,28,undirected
1,7,28,undirected
1,8,28,undirected
1,9,28,undirected
1,10,28,undirected
1,11,28,undirected
1,12,28,undirected
1,13,28,undirected
1,14,28,undirected
1,15,28,undirected
1,16,28,undirected
1,17,28,undirected
1,18,28,undirected
1,19,28,undirected
2,0,42,undirected
2,1,55,undirected
2,2,4,undirected
2,3,33,undirected
2,4,22,undirected
2,5,17,undirected
2,6,17,undirected
2,7,17,undirected
2,8,17,undirected
2,9,17,undirected
2,10,17,undirected
2,11,17,undirected
2,12,17,undirected
2,13,17,undirected
2,14,17,undirected
2,15,17,undirected
2,16,17,undirected
2,17,17,undirected
2,18,17,undirected
2,19,17,undirected
3,0,31,undirected
3,1,44,undirected
3,2,33,undirected
3,3,2,undirected
3,4,11,undirected
3,5,6,undirected
3,6,6,undirected
3,7,6,undirected
3,8,6,undirected
3,9,6,undirected
3,10,6,undirected
3,11,6,undirected
3,12,6,undirected
3,13,6,undirected
3,14,6,undirected
3,15,6,undirected
3,16,6,undirected
3,17,6,undirected
3,18,6,undirected
3,19,6,undirected
4,0,20,undirected
4,1,33,undirected
4,2,22,undirected
4,3,11,undirected
5,0,15,undirected
5,1,28,undirected
5,2,17,undirected
5,3,6,undirected
6,0,15,undirected
6,1,28,undirected
6,2,17,undirected
6,3,6,undirected
7,0,15,undirected
7,1,28,undirected
7,2,17,undirected
7,3,6,undirected
8,0,15,undirected
8,1,28,undirected
8,2,17,undirected
8,3,6,undirected
9,0,15,undirected
9,1,28,undirected
9,2,17,undirected
9,3,6,undirected
10,0,15,undirected
10,1,28,undirected
10,2,17,undirected
10,3,6,undirected
11,0,15,undirected
11,1,28,undirected
11,2,17,undirected
11,3,6,undirected
12,0,15,undirected
12,1,28,undirected
12,2,17,undirected
12,3,6,undirected
13,0,15,undirected
13,1,28,undirected
13,2,17,undirected
13,3,6,undirected
14,0,15,undirected
14,1,28,undirected
14,2,17,undirected
14,3,6,undirected
15,0,15,undirected
15,1,28,undirected
15,2,17,undirected
15,3,6,undirected
16,0,15,undirected
16,1,28,undirected
16,2,17,undirected
16,3,6,undirected
17,0,15,undirected
17,1,28,undirected
17,2,17,undirected
17,3,6,undirected
18,0,15,undirected
18,1,28,undirected
18,2,17,undirected
18,3,6,undirected
19,0,15,undirected
19,1,28,undirected
19,2,17,undirected
19,3,6,undirected
20,21,24,undirected
20,22,37,undirected
20,23,26,undirected
20,24,15,undirected
20,25,9,undirected
20,26,9,undirected
20,27,9,undirected
20,28,9,undirected
20,29,9,undirected
20,30,9,undirected
20,31,9,undirected
20,32,9,undirected
20,33,9,undirected
20,34,9,undirected
20,35,9,undirected
20,36,9,undirected
20,37,9,undirected
20,38,9,undirected
20,39,9,undirected
21,20,24,undirected
21,21,12,undirected
21,22,58,undirected
21,23,47,undirected
21,24,36,undirected
21,25,30,undirected
21,26,30,undirected
21,27,30,undirected
21,28,30,undirected
21,29,30,undirected
21,30,30,undirected
21,31,30,undirected
21,32,30,undirected
21,33,30,undirected
21,34,30,undirected
21,35,30,undirected
21,36,30,undirected
21,37,30,undirected
21,38,30,undirected
