Source,Target,Weight,Type
A_1,A_2,1,undirected
A_1,A_20,3,undirected
A_1,A_3,2,undirected
A_1,A_4,3,undirected
A_10,A_15,5,undirected
A_10,A_20,2,undirected
A_10,A_6,1,undirected
A_11,A_16,1,undirected
A_11,A_19,1,undirected
A_11,A_20,3,undirected
A_11,A_8,4,undirected
A_12,A_15,1,undirected
A_12,A_20,3,undirected
A_12,A_5,2,undirected
A_13,A_15,1,undirected
A_13,A_18,6,undirected
A_13,A_20,2,undirected
A_14,A_15,1,undirected
A_14,A_16,2,undirected
A_14,A_20,3,undirected
A_15,A_10,5,undirected
A_15,A_12,1,undirected
A_15,A_13,1,undirected
A_15,A_14,1,undirected
A_15,A_18,3,undirected
A_15,A_5,5,undirected
A_15,A_6,1,undirected
A_16,A_11,1,undirected
A_16,A_14,2,undirected
A_16,A_18,2,undirected
A_16,A_20,3,undirected
A_16,A_7,2,undirected
A_17,A_19,4,undirected
A_17,A_20,3,undirected
A_17,A_8,2,undirected
A_17,A_9,1,undirected
A_18,A_13,6,undirected
A_18,A_15,3,undirected
A_18,A_16,2,undirected
A_18,A_20,1,undirected
A_18,A_5,1,undirected
A_18,A_7,2,undirected
A_19,A_11,1,undirected
A_19,A_17,4,undirected
A_19,A_20,2,undirected
A_2,A_1,1,undirected
A_2,A_20,3,undirected
A_2,A_8,2,undirected
A_20,A_1,3,undirected
A_20,A_10,2,undirected
A_20,A_11,3,undirected
A_20,A_12,3,undirected
A_20,A_13,2,undirected
A_20,A_14,3,undirected
A_20,A_16,3,undirected
A_20,A_17,3,undirected
A_20,A_18,1,undirected
A_20,A_19,2,undirected
A_20,A_2,3,undirected
A_20,A_3,2,undirected
A_20,A_4,4,undirected
A_20,A_5,3,undirected
A_20,A_6,3,undirected
A_20,A_7,5,undirected
A_20,A_8,6,undirected
A_20,A_9,3,undirected
A_3,A_1,2,undirected
A_3,A_20,2,undirected
A_3,A_4,5,undirected
A_4,A_1,3,undirected
A_4,A_20,4,undirected
A_4,A_3,5,undirected
A_4,A_8,1,undirected
A_5,A_12,2,undirected
A_5,A_15,5,undirected
A_5,A_18,1,undirected
A_5,A_20,3,undirected
A_6,A_10,1,undirected
A_6,A_15,1,undirected
A_6,A_20,3,undirected
A_6,A_9,2,undirected
A_7,A_16,2,undirected
A_7,A_18,2,undirected
A_7,A_20,5,undirected
A_7,A_9,2,undirected
A_8,A_11,4,undirected
A_8,A_17,2,undirected
A_8,A_2,2,undirected
A_8,A_20,6,undirected
A_8,A_4,1,undirected
A_9,A_17,1,undirected
A_9,A_20,3,undirected
A_9,A_6,2,undirected
A_9,A_7,2,undirected
B_1,B_14,1,undirected
B_1,B_5,5,undirected
B_1,B_7,2,undirected
B_10,B_15,3,undirected
B_10,B_6,2,undirected
B_10,B_7,3,undirected
B_11,B_13,1,undirected
B_11,B_15,3,undirected
B_11,B_16,1,undirected
B_11,B_5,1,undirected
B_11,B_6,2,undirected
B_12,B_14,1,undirected
B_12,B_16,3,undirected
B_12,B_19,2,undirected
B_12,B_3,1,undirected
B_12,B_8,2,undirected
B_12,B_9,1,undirected
B_13,B_11,1,undirected
B_13,B_18,2,undirected
B_13,B_3,6,undirected
B_14,B_1,1,undirected
B_14,B_12,1,undirected
B_14,B_16,1,undirected
B_14,B_19,2,undirected
B_14,B_7,1,undirected
B_14,B_9,6,undirected
B_15,B_10,3,undirected
B_15,B_11,3,undirected
B_15,B_17,6,undirected
B_15,B_18,1,undirected
B_15,B_19,5,undirected
B_15,B_2,2,undirected
B_15,B_20,1,undirected
B_15,B_4,1,undirected
B_15,B_6,4,undirected
B_16,B_11,1,undirected
B_16,B_12,3,undirected
B_16,B_14,1,undirected
B_16,B_17,4,undirected
B_16,B_19,2,undirected
B_16,B_20,6,undirected
B_16,B_6,2,undirected
B_16,B_7,3,undirected
B_16,B_8,1,undirected
B_17,B_15,6,undirected
B_17,B_16,4,undirected
B_17,B_19,1,undirected
B_17,B_8,3,undirected
B_18,B_13,2,undirected
B_18,B_15,1,undirected
B_18,B_19,2,undirected
B_18,B_20,3,undirected
B_18,B_5,3,undirected
B_19,B_12,2,undirected
B_19,B_14,2,undirected
B_19,B_15,5,undirected
B_19,B_16,2,undirected
B_19,B_17,1,undirected
B_19,B_18,2,undirected
B_19,B_2,3,undirected
B_19,B_20,4,undirected
B_19,B_3,2,undirected
B_19,B_9,2,undirected
B_2,B_15,2,undirected
B_2,B_19,3,undirected
B_2,B_20,1,undirected
B_20,B_15,1,undirected
B_20,B_16,6,undirected
B_20,B_18,3,undirected
B_20,B_19,4,undirected
B_20,B_2,1,undirected
B_20,B_6,1,undirected
B_3,B_12,1,undirected
B_3,B_13,6,undirected
B_3,B_19,2,undirected
B_4,B_15,1,undirected
B_4,B_5,3,undirected
B_4,B_6,2,undirected
B_5,B_1,5,undirected
B_5,B_11,1,undirected
B_5,B_18,3,undirected
B_5,B_4,3,undirected
B_6,B_10,2,undirected
B_6,B_11,2,undirected
B_6,B_15,4,undirected
B_6,B_16,2,undirected
B_6,B_20,1,undirected
B_6,B_4,2,undirected
B_7,B_1,2,undirected
B_7,B_10,3,undirected
B_7,B_14,1,undirected
B_7,B_16,3,undirected
B_8,B_12,2,undirected
B_8,B_16,1,undirected
B_8,B_17,3,undirected
B_9,B_12,1,undirected
B_9,B_14,6,undirected
B_9,B_19,2,undirected
C_1,C_14,3,undirected
C_1,C_4,6,undirected
C_1,C_6,3,undirected
C_1,C_7,2,undirected
C_10,C_2,1,undirected
C_10,C_6,6,undirected
C_10,C_9,2,undirected
C_10,similarity_heatmap.png,1,undirected
C_10,similarity_scores.csv,1,undirected
C_11,C_12,1,undirected
C_11,C_13,1,undirected
C_11,C_16,3,undirected
C_11,C_19,4,undirected
C_11,C_2,4,undirected
C_11,C_20,5,undirected
C_11,C_4,1,undirected
C_11,C_7,3,undirected
C_11,C_8,1,undirected
C_12,C_11,1,undirected
C_12,C_15,3,undirected
C_12,C_20,4,undirected
C_13,C_11,1,undirected
C_13,C_16,2,undirected
C_13,C_3,3,undirected
C_13,C_6,3,undirected
C_14,C_1,3,undirected
C_14,C_17,6,undirected
C_14,C_18,5,undirected
C_14,C_2,2,undirected
C_14,C_6,1,undirected
C_14,C_9,2,undirected
C_15,C_12,3,undirected
C_15,C_20,6,undirected
C_15,C_3,1,undirected
C_15,C_8,4,undirected
C_15,similarity_heatmap.png,2,undirected
C_15,similarity_scores.csv,2,undirected
C_16,C_11,3,undirected
C_16,C_13,2,undirected
C_16,C_20,2,undirected
C_16,C_5,1,undirected
C_17,C_14,6,undirected
C_17,C_18,2,undirected
C_17,C_19,1,undirected
C_18,C_14,5,undirected
C_18,C_17,2,undirected
C_18,C_5,3,undirected
C_18,C_9,5,undirected
C_19,C_11,4,undirected
C_19,C_17,1,undirected
C_19,C_2,1,undirected
C_19,C_3,2,undirected
C_19,C_5,2,undirected
C_19,C_8,6,undirected
C_2,C_10,1,undirected
C_2,C_11,4,undirected
C_2,C_14,2,undirected
C_2,C_19,1,undirected
C_2,C_7,1,undirected
C_20,C_11,5,undirected
C_20,C_12,4,undirected
C_20,C_15,6,undirected
C_20,C_16,2,undirected
C_20,C_4,2,undirected
C_3,C_13,3,undirected
C_3,C_15,1,undirected
C_3,C_19,2,undirected
C_4,C_1,6,undirected
C_4,C_11,1,undirected
C_4,C_20,2,undirected
C_5,C_16,1,undirected
C_5,C_18,3,undirected
C_5,C_19,2,undirected
C_5,C_9,4,undirected
C_6,C_1,3,undirected
C_6,C_10,6,undirected
C_6,C_13,3,undirected
C_6,C_14,1,undirected
C_7,C_1,2,undirected
C_7,C_11,3,undirected
C_7,C_2,1,undirected
C_8,C_11,1,undirected
C_8,C_15,4,undirected
C_8,C_19,6,undirected
C_9,C_10,2,undirected
C_9,C_14,2,undirected
C_9,C_18,5,undirected
C_9,C_5,4,undirected
similarity_heatmap.png,C_10,1,undirected
similarity_heatmap.png,C_15,2,undirected
similarity_heatmap.png,similarity_scores.csv,6,undirected
similarity_scores.csv,C_10,1,undirected
similarity_scores.csv,C_15,2,undirected
similarity_scores.csv,similarity_heatmap.png,6,undirected
